SenderReplyDiff,checkAttachments,subjReply,subjForward,subjNoOfWords,subjNoOfChar,subjVerify,subjDebit,subjBank,script_exist,checkPopup,checkJS,NoOnClick,html_exist,form_exist,noFunctionWords,avgDomainLength,noWords,check_suspend,check_verify,noOfURLs,noOfLinks,checkIP,checkAtSym,checkURLShorten,checkImg,checkPort,Phishing
1,0,True,False,4,24,False,False,False,False,0,0,0,True,False,1,0,225,False,False,1,0,1,1,1,0,1,0
1,0,False,False,3,25,False,False,False,False,0,0,0,True,False,1,0,111,False,False,2,0,1,1,1,0,1,0
1,0,False,False,3,25,False,False,False,False,0,0,0,True,False,8,0,252,False,False,2,0,1,1,1,0,1,0
1,0,False,False,7,37,False,False,False,False,0,0,0,True,False,1,0,164,False,False,2,0,1,1,1,0,1,0
1,0,True,False,3,20,False,False,False,False,0,0,0,True,False,0,0,207,False,False,1,0,1,1,1,0,1,0
1,0,True,False,8,46,False,False,False,False,0,0,0,True,False,1,0,143,False,False,3,0,1,1,1,0,1,0
1,0,True,False,8,46,False,False,False,False,0,0,0,True,False,1,0,101,False,False,2,0,1,1,1,0,1,0
1,0,False,False,9,47,False,False,False,False,0,0,0,True,False,1,0,208,False,False,2,0,1,1,1,0,1,0
1,0,True,False,8,46,False,False,False,False,0,0,0,True,False,1,0,167,False,False,4,0,1,1,1,0,1,0
1,0,True,False,4,24,False,False,False,False,0,0,0,True,False,0,0,143,False,False,2,0,1,1,1,0,1,0
1,0,False,False,5,36,False,False,False,False,0,0,0,True,False,1,0,104,False,False,2,0,1,1,1,0,1,0
1,0,False,False,6,47,False,False,False,False,0,0,0,True,False,0,0,59,False,False,3,0,1,1,1,0,1,0
1,0,True,False,4,24,False,False,False,False,0,0,0,True,False,0,0,352,False,False,1,0,1,1,1,0,1,0
1,0,False,False,6,38,False,False,False,False,0,0,0,True,False,0,0,77,False,False,2,0,1,1,1,0,1,0
1,0,True,False,8,47,False,False,False,False,0,0,0,True,False,0,0,155,False,False,2,0,1,1,1,0,1,0
1,0,False,False,8,45,False,False,False,False,0,0,0,True,False,1,0,175,False,False,1,0,1,1,1,0,1,0
1,0,False,False,4,25,False,False,False,False,0,0,0,True,False,1,0,89,False,False,1,0,1,1,1,0,1,0
1,0,False,False,8,59,False,False,False,False,0,0,0,True,False,1,0,174,False,False,2,0,1,1,1,0,1,0
1,0,True,False,4,24,False,False,False,False,0,0,0,True,False,2,0,146,False,False,2,0,1,1,1,0,1,0
1,0,False,False,5,33,False,False,False,False,0,0,0,True,False,1,0,41,False,False,3,0,1,1,1,0,1,0
1,0,False,False,3,20,False,False,False,False,0,0,0,True,False,1,0,82,False,False,1,0,1,1,1,0,1,0
1,0,True,False,6,37,False,False,False,False,0,0,0,True,False,1,0,51,False,False,3,0,1,1,1,0,1,0
1,0,True,False,4,24,False,False,False,False,0,0,0,True,False,1,0,253,False,False,1,0,1,1,1,0,1,0
1,0,True,False,4,24,False,False,False,False,0,0,0,True,False,1,0,297,False,False,2,0,1,1,1,0,1,0
1,0,True,False,3,14,False,False,False,False,0,0,0,True,False,1,0,593,False,False,1,0,1,1,1,0,1,0
1,0,True,False,6,37,False,False,False,False,0,0,0,True,False,2,0,126,False,False,2,0,1,1,1,0,1,0
1,0,True,False,3,14,False,False,False,False,0,0,0,True,False,1,0,278,False,False,2,0,1,1,1,0,1,0
1,0,True,False,4,24,False,False,False,False,0,0,0,True,False,1,0,154,False,False,1,0,1,1,1,0,1,0
1,0,True,False,6,34,False,False,False,False,0,0,0,True,False,1,0,408,False,False,1,0,1,1,1,0,1,0
1,0,False,False,6,46,False,False,False,False,0,0,0,True,False,5,0,447,False,False,1,0,1,1,1,0,1,0
1,0,True,False,3,14,False,False,False,False,0,0,0,True,False,0,0,158,False,False,1,0,1,1,1,0,1,0
1,0,True,False,8,59,False,False,False,False,0,0,0,True,False,0,0,218,False,False,0,0,1,1,1,0,1,0
1,0,True,False,3,20,False,False,False,False,0,0,0,True,False,0,0,268,False,False,1,0,1,1,1,0,1,0
1,0,True,False,3,20,False,False,False,False,0,0,0,True,False,0,0,354,False,False,2,0,1,1,1,0,1,0
1,0,False,False,7,37,False,False,False,False,0,0,0,True,False,1,0,227,False,False,1,0,1,1,1,0,1,0
1,0,False,False,4,35,False,False,False,False,0,0,0,True,False,0,0,277,False,False,1,0,1,1,1,0,1,0
1,0,True,False,3,20,False,False,False,False,0,0,0,True,False,0,0,134,False,False,1,0,1,1,1,0,1,0
1,0,True,False,2,11,False,False,False,False,0,0,0,True,False,0,0,56,False,False,1,0,1,1,1,0,1,0
1,0,True,False,2,11,False,False,False,False,0,0,0,True,False,0,0,52,False,False,1,0,1,1,1,0,1,0
1,0,True,False,2,11,False,False,False,False,0,0,0,True,False,0,0,101,False,False,1,0,1,1,1,0,1,0
1,0,True,False,8,52,False,False,False,False,0,0,0,True,False,3,0,550,False,False,2,0,1,1,1,0,1,0
1,0,False,False,11,63,False,False,False,False,0,0,0,True,False,2,0,509,False,False,1,0,1,1,1,0,1,0
1,0,False,False,6,35,False,False,False,False,0,0,0,True,False,0,0,59,False,False,1,0,1,1,1,0,1,0
1,0,True,False,3,14,False,False,False,False,0,0,0,True,False,0,0,117,False,False,2,0,1,1,1,0,1,0
1,0,False,False,1,13,False,False,False,False,0,0,0,True,False,1,0,111,False,False,2,0,1,1,1,0,1,0
1,0,True,False,2,41,False,False,False,False,0,0,0,True,False,0,0,44,False,False,1,0,1,1,1,0,1,0
1,0,True,False,3,14,False,False,False,False,0,0,0,True,False,0,0,140,False,False,1,0,1,1,1,0,1,0
1,0,False,False,4,22,False,False,False,False,0,0,0,True,False,1,0,35,False,False,1,0,1,1,1,0,1,0
1,0,True,False,7,50,False,False,False,False,0,0,0,True,False,2,0,95,False,False,3,0,1,1,1,0,1,0
1,0,True,False,3,14,False,False,False,False,0,0,0,True,False,0,0,232,False,False,2,0,1,1,1,0,1,0
1,0,True,False,5,26,False,False,False,False,0,0,0,True,False,1,0,149,False,False,2,0,1,1,1,0,1,0
1,0,True,False,2,17,False,False,False,False,0,0,0,True,False,1,0,451,False,False,3,0,1,1,1,0,1,0
1,0,True,False,8,41,False,False,False,False,0,0,0,True,False,2,0,317,False,False,2,0,1,1,1,0,1,0
1,0,True,False,5,29,False,False,False,False,0,0,0,True,False,2,0,235,False,False,3,0,1,1,1,0,1,0
1,0,True,False,5,21,False,False,False,False,0,0,0,True,False,1,0,95,False,False,1,0,1,1,1,0,1,0
1,0,True,False,2,17,False,False,False,False,0,0,0,True,False,0,0,168,False,False,2,0,1,1,1,0,1,0
1,0,True,False,5,21,False,False,False,False,0,0,0,True,False,0,0,80,False,False,2,0,1,1,1,0,1,0
1,0,True,False,2,17,False,False,False,False,0,0,0,True,False,0,0,54,False,False,1,0,1,1,1,0,1,0
1,0,True,False,2,17,False,False,False,False,0,0,0,True,False,0,0,97,False,False,1,0,1,1,1,0,1,0
