spamScore,SenderReplyDiff,checkAttachments,subjReply,subjForward,subjNoOfWords,subjNoOfChar,subjVerify,subjDebit,subjBank,script_exist,checkPopup,checkJS,NoOnClick,html_exist,form_exist,noFunctionWords,noWords,noChars,check_suspend,check_verify,check_dear,unique_Words,Richness,noOfURLs,noOfLinks,checkIP,checkAtSym,checkdoubleslash,checkURLShorten,checkImg,checkPort,checkNoDots,avg_DomainLength,checkContentURL,checkModal,check_Here,Phishing
4.7,1,0,FALSE,FALSE,7,53,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,1,329,3563,FALSE,FALSE,TRUE,79,0.092337917,0,1,1,0,1,1,0,1,2,54,1,0,1,1
4.9,1,0,FALSE,FALSE,4,23,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,6,1530,26040,FALSE,FALSE,FALSE,85,0.05875576,8,5,1,0,1,1,3,1,1.6,22.8,1,1,1,1
4.9,1,0,FALSE,FALSE,4,23,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,6,1530,26040,FALSE,FALSE,FALSE,85,0.05875576,8,5,1,0,1,1,3,1,1.6,22.8,1,1,1,1
4.2,1,0,FALSE,FALSE,4,23,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,6,1519,26019,FALSE,FALSE,FALSE,85,0.058380414,8,5,1,0,1,1,3,1,1.6,22.8,1,1,1,1
4.2,1,0,FALSE,FALSE,4,23,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,6,1519,26021,FALSE,FALSE,FALSE,85,0.058375927,8,5,1,0,1,1,3,1,1.6,22.8,1,1,1,1
4.2,1,0,FALSE,FALSE,4,23,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,6,1530,26040,FALSE,FALSE,FALSE,85,0.05875576,8,5,1,0,1,1,3,1,1.6,22.8,1,1,1,1
2.5,1,0,FALSE,FALSE,12,86,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,1202,33481,FALSE,FALSE,FALSE,83,0.035900959,4,4,1,1,1,1,1,1,1,44.25,0,1,1,1
4.9,1,0,FALSE,FALSE,5,33,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,1,49,295,FALSE,FALSE,FALSE,57,0.166101695,0,0,1,1,1,1,0,1,0,0,1,0,1,1
4.9,1,0,FALSE,FALSE,5,42,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,2,392,9994,FALSE,FALSE,TRUE,86,0.039223534,3,1,1,1,0,1,0,1,2,71,1,1,1,1
2.7,1,0,FALSE,FALSE,9,71,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,5,298,2314,FALSE,FALSE,TRUE,77,0.128781331,1,1,1,1,1,1,0,1,3,70,1,1,0,1
0.9,1,0,FALSE,FALSE,5,45,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,2,226,1932,FALSE,FALSE,FALSE,78,0.116977226,1,1,1,0,1,1,0,1,2,44,1,1,0,1
0.9,1,0,FALSE,FALSE,5,45,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,2,226,1932,FALSE,FALSE,FALSE,78,0.116977226,1,1,1,0,1,1,0,1,2,44,1,1,0,1
1.1,1,0,FALSE,FALSE,9,78,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,5,684,6494,FALSE,FALSE,FALSE,82,0.105327995,1,1,1,1,1,1,0,1,2,42,1,1,0,1
1.2,1,0,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,4,139,1100,FALSE,FALSE,FALSE,72,0.126363636,0,1,1,0,1,1,0,1,1,49,1,0,1,1
3.9,1,0,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,6,324,3148,FALSE,FALSE,FALSE,76,0.10292249,2,1,1,1,1,1,0,1,0,4,1,1,1,1
2.6,1,0,FALSE,FALSE,7,49,FALSE,FALSE,TRUE,FALSE,0,0,0,TRUE,FALSE,24,495,4054,FALSE,FALSE,TRUE,67,0.122101628,1,1,1,1,1,1,0,1,1,33,1,1,1,1
1.6,0,0,TRUE,FALSE,8,50,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,2,57,315,FALSE,FALSE,FALSE,56,0.180952381,1,0,1,1,1,1,0,1,0,0,1,1,1,1
3.4,1,0,FALSE,FALSE,4,23,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,14,317,2991,FALSE,FALSE,TRUE,68,0.105984621,4,2,1,1,1,1,2,1,2.5,42.5,1,1,1,1
3.2,1,0,FALSE,FALSE,7,55,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,153,11753,FALSE,FALSE,FALSE,66,0.013017953,0,0,1,1,1,1,0,1,0,0,1,0,1,1
4.2,1,1,FALSE,FALSE,6,41,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,9,1299,38504,FALSE,FALSE,FALSE,87,0.033736755,11,10,1,0,1,1,14,1,2.6,36.1,1,1,1,1
1.9,1,0,FALSE,FALSE,3,29,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,6,633,6234,FALSE,TRUE,TRUE,81,0.101539942,1,1,1,1,0,1,0,1,3,135,1,1,1,1
1.9,1,0,FALSE,FALSE,11,79,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,19,1982,19194,FALSE,FALSE,FALSE,89,0.103261436,23,7,1,1,0,1,17,1,0.714285714,23.57142857,1,1,0,1
4.7,1,0,FALSE,FALSE,6,41,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,16,691,7377,FALSE,TRUE,TRUE,83,0.093669513,0,1,1,1,1,1,0,1,0,10,1,0,0,1
2.5,1,0,FALSE,FALSE,4,34,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,5,487,3653,FALSE,FALSE,FALSE,81,0.133315083,2,3,1,0,1,1,0,1,1.666666667,41.33333333,1,1,1,1
0.7,1,0,FALSE,FALSE,9,52,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,7,298,3499,FALSE,FALSE,TRUE,72,0.085167191,2,2,1,1,1,1,1,1,1.5,29.5,1,1,0,1
2.1,1,0,FALSE,FALSE,7,38,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,3,459,4390,FALSE,FALSE,TRUE,80,0.104555809,1,1,1,1,1,1,6,1,3,31,1,1,1,1
2.1,1,1,FALSE,FALSE,4,23,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,89,6034,FALSE,FALSE,FALSE,78,0.014749751,0,0,1,1,1,1,0,1,0,0,1,0,1,1
1,1,0,FALSE,FALSE,13,66,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,7,75,436,FALSE,FALSE,TRUE,49,0.172018349,1,0,1,1,1,1,0,1,0,0,1,1,1,1
1.9,1,0,FALSE,FALSE,2,21,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,6,508,7382,FALSE,FALSE,TRUE,83,0.068816039,5,3,1,1,1,1,1,1,2,39.66666667,0,1,0,1
9.6,1,0,FALSE,FALSE,2,17,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,4,233,2013,FALSE,FALSE,FALSE,75,0.11574764,1,2,1,1,1,1,0,1,0.5,17,1,1,0,1
0,1,0,FALSE,FALSE,1,10,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,6,196,1659,FALSE,FALSE,FALSE,77,0.11814346,0,1,1,0,1,1,0,1,1,46,1,0,1,1
3.5,1,1,FALSE,FALSE,6,38,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,4,854,11508,FALSE,FALSE,TRUE,86,0.074209246,12,11,1,0,1,1,12,1,2.545454545,38.18181818,1,1,1,1
2.4,1,0,FALSE,FALSE,6,39,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,19,886,10718,FALSE,FALSE,TRUE,80,0.082664676,17,10,1,1,1,1,13,1,0.7,34.7,1,1,1,1
2.5,1,1,FALSE,FALSE,7,40,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,0,177,10385,FALSE,FALSE,FALSE,73,0.017043813,0,0,1,1,1,1,0,1,0,0,1,0,1,1
0,1,0,FALSE,FALSE,3,25,FALSE,FALSE,FALSE,FALSE,0,0,0,TRUE,FALSE,12,333,2299,FALSE,FALSE,FALSE,77,0.144845585,2,1,1,1,1,1,0,1,2,66,1,1,1,1
